Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.4,2.8,2.6,2.5,2.4
Joel Prakken,Oct 12 2024,2024 Q4,CPI Inflation Rate,2.6,2.4,2.3,2.3,2.2,3.1,2.4,2.3,2.2,2.1
Yinuo Zhang,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.5,3.3,3.2,3.1,3.0,3.8,3.2,3.0,2.9,2.8
Maira Trimble,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.6,3.4,3.2,3.1,3.0,3.7,3.2,3.0,2.9,2.7
Jan Hatzius,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.3,3.0,2.7,2.6,2.5
Brendon Ogmundson,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.8,2.7,3.6,3.0,2.8,2.6,2.5
Ryan Sweet,Oct 12 2024,2024 Q4,CPI Inflation Rate,2.9,3.0,2.8,2.7,2.6,3.1,2.7,2.5,2.4,2.4
Scott Anderson,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.4,2.8,2.4,2.3,2.3
Sacha Gelfer,Oct 12 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.1,2.5,2.4,2.3,2.2
"Gary L. Ciminero, CFA",Oct 12 2024,2024 Q4,CPI Inflation Rate,2.8,2.7,2.5,2.6,2.5,3.2,2.6,2.4,2.3,2.2
Chris Varvares,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.7,2.6,3.2,2.8,2.6,2.5,2.4
Joel L. Naroff,Oct 12 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.4,2.4,3.1,2.5,2.4,2.3,2.3
Michael Roberts,Oct 12 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.5,2.4,3.0,2.6,2.5,2.5,2.4
"Perc Pineda, Ph.D.",Oct 12 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.8,2.7,2.6,3.8,2.9,2.7,2.5,2.3
Michael R. Englund,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,3.5,2.9,2.6,2.5,2.4
Robert McNab,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.4,3.1,2.9,2.7,2.6,3.2,2.8,2.5,2.3,2.2
Ed Al-Hussainy,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.0,2.9,2.8,3.2,3.1,2.9,2.7,2.6
Steve Kihm,Oct 12 2024,2024 Q4,CPI Inflation Rate,3.7,3.5,3.3,3.1,3.0,3.9,3.2,2.8,2.6,2.5
