Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,2.9,2.8,3.5,3.0,2.8,2.6,2.5
Joel Prakken,Oct 16 2024,2024 Q4,CPI Inflation Rate,2.6,2.7,2.9,3.0,3.1,3.2,3.0,3.1,2.9,2.8
Yinuo Zhang,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.5,2.4,3.2,2.6,2.4,2.3,2.2
Maira Trimble,Oct 16 2024,2024 Q4,CPI Inflation Rate,2.9,3.0,2.8,2.7,2.7,3.1,2.8,2.6,2.5,2.4
Jan Hatzius,Oct 16 2024,2024 Q4,CPI Inflation Rate,2.3,2.4,2.5,2.5,2.4,3.2,2.5,2.4,2.3,2.3
Brendon Ogmundson,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.7,2.6,3.4,2.8,2.5,2.4,2.3
Ryan Sweet,Oct 16 2024,2024 Q4,CPI Inflation Rate,2.7,2.8,2.6,2.5,2.4,3.1,2.6,2.4,2.3,2.2
Scott Anderson,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.5,2.4,3.6,2.8,2.5,2.3,2.2
Sacha Gelfer,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.7,2.5,3.4,2.8,2.5,2.4,2.3
"Gary L. Ciminero, CFA",Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.3,3.0,2.8,2.6,2.5
Chris Varvares,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,2.8,2.5,2.4,2.3,3.3,2.6,2.4,2.3,2.2
Joel L. Naroff,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.8,2.7,3.3,2.9,2.7,2.5,2.4
Michael Roberts,Oct 16 2024,2024 Q4,CPI Inflation Rate,4.1,3.9,3.7,3.6,3.5,3.8,3.6,3.5,3.4,3.3
"Perc Pineda, Ph.D.",Oct 16 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.3,2.8,2.6,2.5,2.4
Michael R. Englund,Oct 16 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.4,2.4,3.1,2.5,2.4,2.3,2.3
Robert McNab,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.5,3.3,3.2,3.0,2.8,3.9,3.1,2.9,2.7,2.5
Ed Al-Hussainy,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,3.4,2.9,2.5,2.4,2.3
Steve Kihm,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.5,3.7,2.9,2.6,2.4,2.3
Philip Rothman,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.6,2.8,2.5,2.4,2.3
Jay Bryson,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.4,3.0,2.9,2.8,2.7
Shan Ahmed,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.7,2.6,3.4,2.8,2.5,2.3,2.2
Peter Bernstein,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.5,2.9,2.7,2.5,2.3
Jordan Vickers,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.6,3.4,3.2,3.0,2.8,3.8,3.2,2.9,2.7,2.5
Dan Roberts,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,3.0,3.1,3.4,3.0,2.8,2.7,2.6
Robert J. Barbera,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,2.8,2.6,2.5,2.4,3.6,2.7,2.5,2.3,2.2
Charles Steindel,Oct 16 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.5,2.4,3.7,2.6,2.4,2.2,2.1
