Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 21 2024,2024 Q4,CPI Inflation Rate,2.6,2.5,2.4,2.3,2.2,3.2,2.5,2.3,2.3,2.2
Joel Prakken,Oct 21 2024,2024 Q4,CPI Inflation Rate,2.7,2.5,2.4,2.3,2.3,3.1,2.5,2.3,2.2,2.2
Yinuo Zhang,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.0,2.8,2.7,2.6,2.5,3.2,2.6,2.4,2.3,2.3
Maira Trimble,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.5,2.9,2.6,2.5,2.4
Jan Hatzius,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.4,2.7,2.5,2.4,2.3
Brendon Ogmundson,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.8,2.7,3.5,2.9,2.6,2.4,2.3
Ryan Sweet,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,3.0,2.7,2.5,2.4
Scott Anderson,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.6,3.4,3.3,2.9,2.8,3.5,3.0,2.6,2.5,2.4
Sacha Gelfer,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.6,2.8,2.6,2.5,2.4
"Gary L. Ciminero, CFA",Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.5,2.9,2.6,2.4,2.3
Chris Varvares,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.8,3.1,2.9,2.7,2.6,2.5
Joel L. Naroff,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.6,3.0,2.8,2.6,2.5
Michael Roberts,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.0,2.8,2.6,2.5,2.4,3.5,2.5,2.4,2.3,2.2
"Perc Pineda, Ph.D.",Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.5,3.4,2.8,2.6,2.5,2.4
Michael R. Englund,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.9,3.7,3.2,2.8,2.5,2.3
Robert McNab,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.5,2.7,2.6,2.5,2.4
Ed Al-Hussainy,Oct 21 2024,2024 Q4,"CPI Inflation Rate (headline, seasonally adjusted, annual rate, % points)",3.1,2.8,2.6,2.4,2.3,3.7,2.5,2.3,2.1,2.0
Steve Kihm,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.8,2.7,3.1,2.8,2.5,2.3,2.2
Philip Rothman,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,2.8,2.6,2.5,2.5,3.3,2.6,2.4,2.3,2.3
Jay Bryson,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.5,2.4,3.2,2.6,2.5,2.4,2.3
Shan Ahmed,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.3,2.9,2.7,2.6,2.5
Peter Bernstein,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,3.5,2.9,2.7,2.5,2.4
Jordan Vickers,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.7,2.8,2.5,2.4,2.3
Dan Roberts,Oct 21 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.2,2.5,2.3,2.2,2.1
Robert J. Barbera,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,3.0,2.7,2.5,2.4
Charles Steindel,Oct 21 2024,2024 Q4,CPI Inflation Rate,2.9,2.6,2.5,2.4,2.3,3.1,2.8,2.4,2.3,2.3
Yaniv Konchitchki,Oct 21 2024,2024 Q4,CPI Inflation Rate,2.9,2.8,2.7,2.6,2.6,3.1,2.7,2.5,2.4,2.3
Rajeev Dhawan,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.4,2.7,2.5,2.3,2.2
Michael Brown,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,3.0,2.8,2.5,2.3
Edward Sullivan,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.9,4.0,3.2,3.0,2.8,2.7
Doug Porter,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.8,2.7,3.6,2.8,2.5,2.4,2.3
Mark Zandi,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.9,3.5,3.1,2.7,2.5,2.3
Thomas Lam,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,4.0,2.9,2.6,2.5,2.4
William Adams,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.4,3.1,2.8,2.6,2.5,3.6,2.9,2.6,2.4,2.3
Alexander Spitz,Oct 21 2024,2024 Q4,CPI Inflation Rate,2.6,2.5,2.4,2.3,2.3,3.2,2.5,2.3,2.2,2.2
Ralph M. Monaco,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,4.0,3.0,2.7,2.5,2.3
Daniil Manaenkov,Oct 21 2024,2024 Q4,CPI Inflation Rate,4.2,3.9,3.7,3.5,3.3,4.0,3.8,3.4,3.2,3.0
Lu Yu,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.8,2.7,3.5,3.0,2.6,2.4,2.3
Grant Collins,Oct 21 2024,2024 Q4,CPI Inflation Rate,2.9,2.7,2.6,2.4,2.3,3.2,2.5,2.3,2.2,2.2
James Glassman,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.5,3.5,2.9,2.7,2.5,2.4
Allen Sinai,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,3.6,2.9,2.5,2.4,2.3
"Christine Chmura, Ph.D.",Oct 21 2024,2024 Q4,CPI Inflation Rate,3.5,3.4,3.3,3.2,3.1,3.6,3.3,3.0,2.8,2.6
"Sean M. Snaith, Ph.D.",Oct 21 2024,2024 Q4,CPI Inflation Rate,2.1,2.2,2.3,2.4,2.4,2.6,2.3,2.2,2.1,2.0
Gabriel Ehrlich,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.8,2.7,3.5,2.9,2.6,2.4,2.3
Jason Prole,Oct 21 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.4,2.3,3.0,2.4,2.3,2.3,2.2
Brian Martin,Oct 21 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.5,2.8,2.6,2.5,2.4
