Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.8,2.7,2.6,3.2,2.8,2.5,2.4,2.3
Joel Prakken,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.5,3.4,3.2,3.1,3.0,3.6,3.3,3.1,3.0,2.9
Yinuo Zhang,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.2,2.8,2.5,2.3,2.2
Maira Trimble,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.4,2.6,2.5,2.4,2.3,3.0,2.5,2.4,2.3,2.2
Jan Hatzius,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,2.8,2.5,2.4,2.3,3.5,2.6,2.4,2.2,2.1
Brendon Ogmundson,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.6,2.5,3.5,2.8,2.6,2.5,2.4
Ryan Sweet,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.2,2.9,2.7,2.5,2.4
Scott Anderson,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,2.9,2.7,2.5,2.4
Sacha Gelfer,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.2,2.8,2.6,2.5,2.4
"Gary L. Ciminero, CFA",Oct 13 2024,2024 Q4,CPI Inflation Rate,2.8,3.0,2.9,2.7,2.6,3.1,2.8,2.6,2.4,2.3
Chris Varvares,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.5,2.4,3.0,2.5,2.4,2.3,2.3
Joel L. Naroff,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.5,2.4,3.5,2.6,2.4,2.3,2.3
Michael Roberts,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.5,2.6,2.7,2.8,2.9,3.4,2.8,2.6,2.5,2.4
"Perc Pineda, Ph.D.",Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.3,2.8,2.5,2.3,2.2
Michael R. Englund,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.8,2.7,3.5,2.9,2.6,2.5,2.4
Robert McNab,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.5,2.8,2.6,2.4,2.3
Ed Al-Hussainy,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.6,2.5,2.5,3.5,2.7,2.4,2.3,2.3
Steve Kihm,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.0,2.9,2.8,2.7,2.6,3.2,2.7,2.5,2.4,2.3
Philip Rothman,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.6,2.5,2.4,2.4,2.3,3.1,2.5,2.4,2.3,2.2
Jay Bryson,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.8,2.7,2.6,2.5,2.4,3.1,2.6,2.5,2.5,2.4
Shan Ahmed,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.5,3.0,2.6,2.4,2.3
Peter Bernstein,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.9,3.0,3.1,3.1,3.2,3.7,3.0,2.8,2.6,2.5
Jordan Vickers,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.7,2.6,3.2,2.8,2.5,2.4,2.3
Dan Roberts,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.4,2.3,2.2,3.1,2.5,2.3,2.2,2.2
Robert J. Barbera,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.6,2.9,2.5,2.4,2.3
Charles Steindel,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.6,2.5,2.5,2.4,2.4,3.2,2.5,2.4,2.3,2.3
Yaniv Konchitchki,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,3.1,2.7,2.5,2.4,2.3
Rajeev Dhawan,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.5,3.4,3.3,3.2,3.1,3.6,3.3,3.0,2.8,2.7
Michael Brown,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.9,3.6,3.0,2.7,2.5,2.4
Edward Sullivan,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.8,2.7,2.6,3.6,2.8,2.5,2.4,2.3
Doug Porter,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.5,3.5,3.0,2.7,2.5,2.3
Mark Zandi,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.5,2.4,2.3,2.3,2.2,3.1,2.4,2.3,2.3,2.2
Thomas Lam,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,2.9,2.7,2.5,3.7,3.0,2.6,2.4,2.3
William Adams,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.2,2.6,2.3,2.2,2.1
Alexander Spitz,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.8,2.5,2.4,2.3,2.3,3.0,2.4,2.3,2.2,2.2
Ralph M. Monaco,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.6,2.5,2.5,3.8,2.7,2.5,2.4,2.4
Daniil Manaenkov,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.5,2.4,3.5,2.6,2.4,2.3,2.3
Lu Yu,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.4,3.0,2.8,2.7,2.6
Grant Collins,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,2.9,2.8,3.8,3.0,2.7,2.6,2.5
James Glassman,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.5,2.4,3.2,2.5,2.4,2.3,2.3
Allen Sinai,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.2,2.7,2.5,2.3,2.2
"Christine Chmura, Ph.D.",Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.8,2.7,3.7,2.9,2.5,2.3,2.2
"Sean M. Snaith, Ph.D.",Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.4,3.0,2.7,2.5,2.3
Gabriel Ehrlich,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.6,2.4,2.3,2.2,2.1,3.1,2.3,2.2,2.1,2.0
Jason Prole,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.8,2.7,3.5,2.9,2.6,2.5,2.4
Brian Martin,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.4,3.2,2.5,2.4,2.3,2.3
Stephen Stanley,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.6,2.7,2.5,2.4,2.3,3.0,2.5,2.3,2.2,2.2
Lawrence Werther,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.1,2.8,2.5,2.4,2.4
Tani Fukui,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.6,2.5,3.6,2.8,2.5,2.4,2.3
Anthony Metz,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.4,2.9,2.6,2.4,2.3
Wayne Best,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.8,2.7,3.7,2.9,2.5,2.4,2.3
Susan M. Sterne,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.5,2.3,3.1,2.8,2.6,2.4,2.3
Jeffrey Baldwin,Oct 13 2024,2024 Q4,CPI Inflation Rate,2.4,2.5,2.6,2.5,2.4,3.0,2.5,2.3,2.2,2.1
"Xiaobing Shuai, Ph.D.",Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.4,2.3,3.5,2.5,2.3,2.2,2.1
Michael Feroli,Oct 13 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.5,3.2,2.8,2.7,2.6,2.5
