Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 10 2024,2024 Q4,CPI Inflation Rate,2.8,2.7,2.6,2.5,2.4,3.0,2.6,2.4,2.3,2.3
Joel Prakken,Oct 10 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.2,2.6,2.4,2.3,2.2
Yinuo Zhang,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.6,2.7,2.4,2.3,2.2
Maira Trimble,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.6,2.5,3.2,2.7,2.5,2.4,2.3
Jan Hatzius,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.2,2.8,2.5,2.4,2.3
Brendon Ogmundson,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.2,2.8,2.6,2.5,2.5
Ryan Sweet,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.3,2.8,2.5,2.5,2.4
Scott Anderson,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.0,2.8,2.7,2.6,2.5,3.4,2.6,2.4,2.4,2.3
Sacha Gelfer,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.5,3.6,2.8,2.5,2.3,2.2
"Gary L. Ciminero, CFA",Oct 10 2024,2024 Q4,CPI Inflation Rate,2.4,2.3,2.2,2.2,2.1,3.1,2.2,2.0,2.0,2.0
Chris Varvares,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.5,3.3,3.2,3.0,2.9,3.6,3.1,2.8,2.6,2.5
Joel L. Naroff,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.5,2.7,2.5,2.3,2.2
Michael Roberts,Oct 10 2024,2024 Q4,CPI Inflation Rate,3.0,2.8,2.6,2.5,2.4,3.2,2.7,2.5,2.3,2.2
