Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,3.0,2.8,2.6,2.5
Joel Prakken,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.4,3.0,2.7,2.5,2.4
Yinuo Zhang,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.8,2.7,2.6,3.2,2.8,2.5,2.4,2.3
Maira Trimble,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,3.0,2.7,2.5,2.4
Jan Hatzius,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.5,3.2,2.8,2.6,2.5,2.4
Brendon Ogmundson,Oct 23 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.4,2.4,3.1,2.5,2.3,2.3,2.2
Ryan Sweet,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.3,2.6,2.4,2.3,2.2
Scott Anderson,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,3.5,2.8,2.5,2.4,2.3
Sacha Gelfer,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.8,2.7,3.6,2.9,2.6,2.5,2.5
"Gary L. Ciminero, CFA",Oct 23 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.4,2.4,3.1,2.5,2.3,2.3,2.3
Chris Varvares,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.5,2.4,3.3,2.6,2.5,2.3,2.2
Joel L. Naroff,Oct 23 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.4,2.5,2.3,2.2,2.1
Michael Roberts,Oct 23 2024,2024 Q4,CPI Inflation Rate,2.3,2.5,2.4,2.6,2.5,3.1,2.4,2.3,2.2,2.1
"Perc Pineda, Ph.D.",Oct 23 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.3,2.8,2.6,2.5,2.4
Michael R. Englund,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.7,2.6,3.4,2.8,2.5,2.3,2.2
Robert McNab,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.6,3.4,3.3,3.1,3.0,3.8,3.2,2.8,2.5,2.3
Ed Al-Hussainy,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.8,2.7,2.5,3.5,2.9,2.6,2.5,2.3
Steve Kihm,Oct 23 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.2,2.4,2.3,2.2,2.2
Philip Rothman,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.5,2.4,3.4,2.6,2.4,2.3,2.2
Jay Bryson,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.8,2.7,2.6,3.5,2.8,2.5,2.3,2.2
Shan Ahmed,Oct 23 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.8,3.6,3.0,2.7,2.5,2.4
