Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.6,3.7,2.9,2.5,2.3,2.2
Joel Prakken,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.3,3.1,3.0,2.9,3.2,3.0,2.8,2.7,2.6
Yinuo Zhang,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.6,3.4,3.2,3.0,2.8,3.8,3.2,2.9,2.7,2.5
Maira Trimble,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.8,2.7,3.4,2.9,2.6,2.4,2.3
Jan Hatzius,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.4,2.7,2.5,2.4,2.3
Brendon Ogmundson,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.5,2.4,3.5,2.8,2.6,2.4,2.3
Ryan Sweet,Oct 09 2024,2024 Q4,CPI Inflation Rate,2.5,2.4,2.3,2.3,2.2,3.2,2.3,2.2,2.2,2.1
Scott Anderson,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.2,2.7,2.5,2.4,2.3
Sacha Gelfer,Oct 09 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.4,2.3,3.1,2.6,2.4,2.3,2.2
"Gary L. Ciminero, CFA",Oct 09 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.7,2.8,3.4,2.8,2.5,2.4,2.3
Chris Varvares,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.6,2.5,3.8,2.8,2.6,2.5,2.4
Joel L. Naroff,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.9,3.5,3.0,2.8,2.7,2.6
Michael Roberts,Oct 09 2024,2024 Q4,CPI Inflation Rate,2.4,2.3,2.2,2.2,2.1,3.2,2.3,2.2,2.1,2.0
"Perc Pineda, Ph.D.",Oct 09 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,3.5,3.0,2.6,2.4,2.2
