Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Joel Prakken,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Yinuo Zhang,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Maira Trimble,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.3,2.1
Jan Hatzius,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Brendon Ogmundson,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Ryan Sweet,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
Scott Anderson,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Sacha Gelfer,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
"Gary L. Ciminero, CFA",Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
Chris Varvares,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Joel L. Naroff,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Michael Roberts,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
"Perc Pineda, Ph.D.",Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
Michael R. Englund,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Robert McNab,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
Ed Al-Hussainy,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.2
Steve Kihm,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
Philip Rothman,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Jay Bryson,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.4,2.3,2.2
Shan Ahmed,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
Peter Bernstein,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Jordan Vickers,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
Dan Roberts,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Robert J. Barbera,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
Charles Steindel,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Yaniv Konchitchki,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.7,2.5,2.4,2.3
Rajeev Dhawan,Oct 09 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.5,3.2,2.8,2.5,2.3,2.1
