Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.4,2.7,2.5,2.1,2.0
Joel Prakken,Oct 22 2024,2024 Q4,CPI Inflation Rate,2.6,2.8,2.7,2.5,2.4,3.1,2.6,2.5,2.4,2.3
Yinuo Zhang,Oct 22 2024,2024 Q4,CPI Inflation Rate,2.9,2.8,2.7,2.6,2.6,3.2,2.7,2.5,2.4,2.4
Maira Trimble,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.2,2.7,2.5,2.4,2.3
Jan Hatzius,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,3.4,2.9,2.6,2.5,2.4
Brendon Ogmundson,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.5,2.3,3.5,2.7,2.6,2.4,2.3
Ryan Sweet,Oct 22 2024,2024 Q4,CPI Inflation Rate,2.9,3.0,2.8,2.7,2.6,3.1,2.8,2.5,2.4,2.3
Scott Anderson,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.4,2.6,2.4,2.3,2.2
Sacha Gelfer,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.8,2.7,2.6,3.4,2.8,2.5,2.3,2.2
"Gary L. Ciminero, CFA",Oct 22 2024,2024 Q4,CPI Inflation Rate,3.6,3.4,3.2,3.0,2.8,3.5,3.1,2.9,2.7,2.5
Chris Varvares,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.7,2.6,2.5,3.5,2.6,2.4,2.3,2.2
Joel L. Naroff,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.5,2.4,3.5,2.6,2.4,2.3,2.2
Michael Roberts,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.2,2.8,2.5,2.4,2.3,3.5,2.6,2.3,2.3,2.2
"Perc Pineda, Ph.D.",Oct 22 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.0,2.7,2.5,2.4,2.3
Michael R. Englund,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.5,2.4,3.5,2.8,2.6,2.5,2.4
Robert McNab,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.0,3.0,2.9,3.3,3.1,2.9,2.9,2.8
Ed Al-Hussainy,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.5,3.3,3.2,3.1,3.0,3.8,3.2,2.9,2.7,2.6
Steve Kihm,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,3.0,2.8,3.2,2.9,2.7,2.6,2.6
Philip Rothman,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,3.0,2.8,2.6,2.4
Jay Bryson,Oct 22 2024,2024 Q4,CPI Inflation Rate,2.3,2.4,2.5,2.3,2.2,3.1,2.4,2.3,2.3,2.2
Shan Ahmed,Oct 22 2024,2024 Q4,CPI Inflation Rate,2.7,2.5,2.4,2.3,2.3,3.1,2.4,2.3,2.2,2.2
Peter Bernstein,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,3.0,3.5,3.1,2.8,2.7,2.5
Jordan Vickers,Oct 22 2024,2024 Q4,CPI Inflation Rate,3,2.8,2.6,2.5,2.4,2.9,2.5,2.3,2.2,2.1
Dan Roberts,Oct 22 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.6,2.5,3.1,2.7,2.5,2.4,2.4
Robert J. Barbera,Oct 22 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.3,2.2,3.1,2.4,2.3,2.3,2.2
