Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.4,3.3,3.1,3.0,2.9,3.5,3.1,2.8,2.5,2.3
Joel Prakken,Oct 18 2024,2024 Q4,CPI Inflation Rate,2.1,2.4,2.6,2.5,2.3,3.2,2.4,2.3,2.2,2.1
Yinuo Zhang,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.6,2.6,3.5,2.8,2.5,2.4,2.4
Maira Trimble,Oct 18 2024,2024 Q4,CPI Inflation Rate,2.5,2.4,2.3,2.3,2.2,3.5,2.3,2.2,2.2,2.1
Jan Hatzius,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.5,2.4,2.3,3.8,2.7,2.5,2.4,2.3
Brendon Ogmundson,Oct 18 2024,2024 Q4,CPI Inflation Rate,2.9,2.7,2.8,2.9,3.0,3.1,2.8,2.7,2.6,2.5
Ryan Sweet,Oct 18 2024,2024 Q4,CPI Inflation Rate,2.6,2.8,3.0,2.9,2.7,3.1,2.8,2.6,2.5,2.5
Scott Anderson,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.4,3.1,2.8,2.6,2.5,3.2,2.7,2.5,2.4,2.3
Sacha Gelfer,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,3.0,2.8,2.7,3.1,2.8,2.6,2.5,2.4
"Gary L. Ciminero, CFA",Oct 18 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.5,2.8,2.6,2.5,2.4
Chris Varvares,Oct 18 2024,2024 Q4,CPI Inflation Rate,2.9,3.0,2.8,2.6,2.5,3.2,2.7,2.4,2.3,2.2
Joel L. Naroff,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.4,2.8,2.6,2.5,2.5
Michael Roberts,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.4,2.7,2.5,2.4,2.3
"Perc Pineda, Ph.D.",Oct 18 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.2,2.5,2.4,2.3,2.2
Michael R. Englund,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.8,2.7,2.6,3.3,2.7,2.5,2.4,2.3
Robert McNab,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.8,3.5,3.3,3.2,3.0,4.1,3.4,3.2,3.1,3.0
Ed Al-Hussainy,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.8,2.7,2.6,3.3,2.9,2.5,2.4,2.3
Steve Kihm,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.5,2.7,2.5,2.4,2.4
Philip Rothman,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.5,3.3,3.0,2.8,2.6,3.6,2.9,2.7,2.5,2.4
Jay Bryson,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.7,2.6,3.4,2.8,2.5,2.3,2.2
Shan Ahmed,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.6,2.5,3.6,2.8,2.5,2.4,2.3
Peter Bernstein,Oct 18 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.2,2.6,2.4,2.3,2.2
Jordan Vickers,Oct 18 2024,2024 Q4,CPI Inflation Rate,2.7,2.5,2.4,2.3,2.2,3.2,2.5,2.3,2.2,2.2
Dan Roberts,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.5,3.5,3.0,2.6,2.4,2.3
Robert J. Barbera,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.8,2.8,3.3,2.8,2.7,2.6,2.6
Charles Steindel,Oct 18 2024,2024 Q4,CPI Inflation Rate,2.9,3.0,2.8,2.7,2.6,3.3,2.8,2.6,2.5,2.4
Yaniv Konchitchki,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.2,2.7,2.5,2.4,2.4
Rajeev Dhawan,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.9,3.5,3.1,2.8,2.6,2.4
Michael Brown,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.8,2.6,3.4,2.9,2.5,2.3,2.2
Edward Sullivan,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.6,2.8,2.5,2.4,2.3
Doug Porter,Oct 18 2024,2024 Q4,"CPI Inflation Rate (headline, seasonally adjusted, annual rate, % points)",3.5,3.2,3.1,3.0,2.9,3.6,3.1,2.8,2.7,2.5
Mark Zandi,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.7,2.6,3.5,2.8,2.6,2.5,2.4
Thomas Lam,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.6,2.9,2.7,2.5,2.3
William Adams,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,2.9,2.7,3.8,3.0,2.6,2.4,2.3
Alexander Spitz,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.7,3.5,3.4,3.3,3.1,3.9,3.3,3.0,2.8,2.6
Ralph M. Monaco,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.8,2.7,3.5,2.8,2.6,2.5,2.5
Daniil Manaenkov,Oct 18 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.9,3.6,3.0,2.7,2.5,2.3
Lu Yu,Oct 18 2024,2024 Q4,CPI Inflation Rate,2.3,2.4,2.5,2.6,2.5,3.1,2.4,2.3,2.2,2.1
