Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.2,2.8,2.5,2.4,2.3
Joel Prakken,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.5,2.7,2.5,2.3,2.2
Yinuo Zhang,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.6,2.5,2.4,2.3,2.3,3.1,2.4,2.3,2.3,2.2
Maira Trimble,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.5,2.7,2.5,2.4,2.3
Jan Hatzius,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.3,2.6,2.5,2.4,2.3
Brendon Ogmundson,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.1,2.5,2.3,2.2,2.1
Ryan Sweet,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,2.9,2.7,2.5,2.4
Scott Anderson,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.8,2.7,2.6,2.5,2.4,3.2,2.6,2.4,2.3,2.3
Sacha Gelfer,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.3,2.8,2.6,2.5,2.4
"Gary L. Ciminero, CFA",Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.5,2.8,2.6,2.5,2.4
Chris Varvares,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.5,3.6,2.8,2.5,2.4,2.3
Joel L. Naroff,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.3,2.9,2.7,2.6,2.5
Michael Roberts,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.6,2.7,2.4,2.3,2.2
"Perc Pineda, Ph.D.",Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.8,2.7,3.5,2.8,2.6,2.5,2.4
Michael R. Englund,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.9,2.7,2.5,2.4,2.3,3.1,2.6,2.4,2.3,2.3
Robert McNab,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.4,2.9,2.7,2.5,2.4
Ed Al-Hussainy,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.8,2.7,3.4,2.9,2.6,2.5,2.4
Steve Kihm,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.5,2.9,2.8,2.7,2.5
Philip Rothman,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.7,2.5,3.4,2.8,2.6,2.5,2.4
Jay Bryson,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.0,2.8,2.6,3.6,2.9,2.7,2.5,2.4
Shan Ahmed,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.7,2.6,2.5,2.4,2.3,3.2,2.5,2.4,2.3,2.2
Peter Bernstein,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.0,2.9,2.7,3.2,2.8,2.6,2.5,2.4
Jordan Vickers,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.5,3.2,3.0,2.8,2.7,3.6,2.9,2.7,2.5,2.4
Dan Roberts,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.3,2.2,2.1,2.0,2.0,3.2,2.1,2.0,2.0,2.0
Robert J. Barbera,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.8,2.7,3.5,3.0,2.6,2.4,2.3
Charles Steindel,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.4,2.7,2.5,2.4,2.3
Yaniv Konchitchki,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,3.0,2.9,2.7,2.5
Rajeev Dhawan,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.5,3.5,2.9,2.6,2.4,2.3
Michael Brown,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.6,2.5,3.5,2.7,2.5,2.3,2.2
Edward Sullivan,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.4,3.0,2.7,2.5,2.5
Doug Porter,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.7,3.2,2.8,2.6,2.5,2.5
Mark Zandi,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,3.2,3.0,2.9,3.0,3.4,3.1,2.8,2.7,2.6
Thomas Lam,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.8,2.6,2.5,3.7,2.7,2.5,2.4,2.3
William Adams,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.5,3.0,2.8,2.5,2.3
Alexander Spitz,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.7,3.5,3.3,3.2,3.1,3.4,3.3,3.0,2.9,2.8
Ralph M. Monaco,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.7,2.5,2.4,2.3,2.2,3.0,2.5,2.3,2.2,2.2
Daniil Manaenkov,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.8,3.4,3.2,3.0,2.8,4.2,3.1,2.9,2.7,2.5
Lu Yu,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.5,2.8,2.5,2.3,2.2
Grant Collins,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.8,2.7,2.6,3.5,2.8,2.6,2.5,2.4
James Glassman,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.8,3.7,3.6,3.5,3.4,3.9,3.5,3.2,3.1,3.0
Allen Sinai,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.9,3.6,3.0,2.8,2.7,2.5
"Christine Chmura, Ph.D.",Oct 20 2024,2024 Q4,CPI Inflation Rate,2.9,3.0,3.2,3.1,3.0,3.1,3.0,2.8,2.7,2.5
"Sean M. Snaith, Ph.D.",Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.8,2.7,3.5,2.8,2.5,2.4,2.3
Gabriel Ehrlich,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.4,2.9,2.6,2.4,2.4
Jason Prole,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.2,2.5,2.4,2.3,2.2
Brian Martin,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.4,3.2,3.1,3.0,2.9,3.5,3.0,2.8,2.6,2.5
Stephen Stanley,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.8,2.7,3.4,2.9,2.6,2.4,2.3
Lawrence Werther,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.8,2.7,2.6,3.2,2.9,2.7,2.5,2.4
Tani Fukui,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.6,2.5,3.8,2.7,2.5,2.3,2.2
Anthony Metz,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.1,2.8,2.6,2.5,2.4,3.5,2.6,2.4,2.3,2.2
Wayne Best,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.1,2.3,2.4,2.4,2.5,3.2,2.3,2.4,2.5,2.5
Susan M. Sterne,Oct 20 2024,2024 Q4,CPI Inflation Rate,2.6,2.7,2.8,2.9,2.7,3.1,2.8,2.9,2.6,2.5
Jeffrey Baldwin,Oct 20 2024,2024 Q4,CPI Inflation Rate,0.9,1.1,1.3,1.5,1.4,1.1,1.3,1.4,1.5,1.6
"Xiaobing Shuai, Ph.D.",Oct 20 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.4,2.3,3.1,2.5,2.4,2.4,2.3
Michael Feroli,Oct 20 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.8,2.7,3.5,3.0,2.6,2.4,2.3
